"","Player","FGA","X2PFG.","X3PFG.","PTS","TRB","BLK","AST.TOV","ORtg"
"1","Filip Petrusev",3.8,0.64,0.3,6.5,2.7,0.5,0.5,131.8
"2","Bruno Fernando",8.3,0.63,0.33,13.7,10.4,1.9,0.71,118.6
"3","Charles Bassey",8.8,0.65,0.5,14.6,10,2.4,0.24,115.2
"4","Naz Reid",10.6,0.51,0.38,13.7,7.1,0.7,0.32,108.1
"5","Moses Brown",7.1,0.61,NA,10,8.6,2,0.19,107.5
