Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
F,14,Brandon Ingram,B. Ingram,All,2.06,86,20.27,2294,4.31,-2.76,0.32
G,15,Frank Jackson,F. Jackson,NOP,1.91,93,25.49,325,4.46,0.6,1.09
G,15,Frank Jackson,F. Jackson,All,1.91,93,25.49,325,4.46,0.6,1.09
G,55,E'Twaun Moore,E. Moore,NOP,1.93,87,23.36,380,4.42,-0.77,0.88
G,55,E'Twaun Moore,E. Moore,All,1.93,87,23.36,380,4.42,-0.77,0.88
C,8,Jahlil Okafor,J. Okafor,NOP,2.11,125,28.08,912,4.3,2.26,0.27
C,8,Jahlil Okafor,J. Okafor,All,2.11,125,28.08,912,4.3,2.26,0.27
G/F,34,Kenrich Williams,K. Williams,NOP,2.01,95,23.51,923,4.5,-0.67,1.29
G/F,34,Kenrich Williams,K. Williams,All,2.01,95,23.51,923,4.5,-0.67,1.29
F,12,LaMarcus Aldridge,L. Aldridge,SAS,2.11,118,26.5,2541,4.05,1.25,-1.01
F,12,LaMarcus Aldridge,L. Aldridge,All,2.11,118,26.5,2541,4.05,1.25,-1.01
G/F,18,Marco Belinelli,M. Belinelli,SAS,1.96,95,24.73,780,4.48,0.11,1.19
G/F,18,Marco Belinelli,M. Belinelli,All,1.96,95,24.73,780,4.48,0.11,1.19
F,77,DeMarre Carroll,D. Carroll,SAS,2.03,98,23.78,1824,4.04,-0.5,-1.06
F,77,DeMarre Carroll,D. Carroll,All,2.03,98,23.78,1824,4.04,-0.5,-1.06
G,10,DeMar DeRozan,D. DeRozan,SAS,2.01,100,24.75,2730,4.18,0.12,-0.34
G,10,DeMar DeRozan,D. DeRozan,All,2.01,100,24.75,2730,4.18,0.12,-0.34
G,11,Bryn Forbes,B. Forbes,SAS,1.91,86,23.57,1655,4.3,-0.64,0.27
G,11,Bryn Forbes,B. Forbes,All,1.91,86,23.57,1655,4.3,-0.64,0.27
F,22,Rudy Gay,R. Gay,SAS,2.03,104,25.24,1755,4.18,0.43,-0.34
F,22,Rudy Gay,R. Gay,All,2.03,104,25.24,1755,4.18,0.43,-0.34
F,41,Trey Lyles,T. Lyles,SAS,2.08,106,24.5,780,4.08,-0.04,-0.85
F,41,Trey Lyles,T. Lyles,All,2.08,106,24.5,780,4.08,-0.04,-0.85
C,25,Jakob Poeltl,J. Poeltl,SAS,2.13,104,22.92,1560,4.48,-1.05,1.19
C,25,Jakob Poeltl,J. Poeltl,All,2.13,104,22.92,1560,4.48,-1.05,1.19
G,4,Derrick White,D. White,SAS,1.93,86,23.09,1925,4.4,-0.95,0.78
G,4,Derrick White,D. White,All,1.93,86,23.09,1925,4.4,-0.95,0.78
G,5,Will Barton,W. Barton,DEN,1.98,86,21.94,1800,4.17,-1.69,-0.39
G,5,Will Barton,W. Barton,All,1.98,86,21.94,1800,4.17,-1.69,-0.39
G,25,Malik Beasley,M. Beasley,DEN,1.96,88,22.91,1560,4.14,-1.06,-0.55
G,25,Malik Beasley,M. Beasley,All,1.96,88,22.91,1560,4.14,-1.06,-0.55
F,3,Torrey Craig,T. Craig,DEN,2.01,98,24.26,1347,4.42,-0.2,0.88
F,3,Torrey Craig,T. Craig,All,2.01,98,24.26,1347,4.42,-0.2,0.88
F,9,Jerami Grant,J. Grant,DEN,2.06,100,23.56,1716,4.31,-0.64,0.32
F,9,Jerami Grant,J. Grant,All,2.06,100,23.56,1716,4.31,-0.64,0.32
G,14,Gary Harris,G. Harris,DEN,1.93,95,25.5,2059,4.18,0.61,-0.34
G,14,Gary Harris,G. Harris,All,1.93,95,25.5,2059,4.18,0.61,-0.34
C,15,Nikola Jokic,N. Jokic,DEN,2.13,113,24.91,2418,3.95,0.22,-1.52
C,15,Nikola Jokic,N. Jokic,All,2.13,113,24.91,2418,3.95,0.22,-1.52
F,4,Paul Millsap,P. Millsap,DEN,2.03,112,27.18,1820,4.05,1.68,-1.01
F,4,Paul Millsap,P. Millsap,All,2.03,112,27.18,1820,4.05,1.68,-1.01
G,11,Monte Morris,M. Morris,DEN,1.91,79,21.66,1716,4.29,-1.87,0.22
G,11,Monte Morris,M. Morris,All,1.91,79,21.66,1716,4.29,-1.87,0.22
