Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
F/C,46,Aron Baynes,A. Baynes,PHX,2.08,118,27.27,1216,4.02,1.74,-1.16
F/C,46,Aron Baynes,A. Baynes,All,2.08,118,27.27,1216,4.02,1.74,-1.16
G,1,Devin Booker,D. Booker,PHX,1.98,95,24.23,2590,4.11,-0.21,-0.7
G,1,Devin Booker,D. Booker,All,1.98,95,24.23,2590,4.11,-0.21,-0.7
F,25,Mikal Bridges,M. Bridges,PHX,2.01,95,23.51,2184,4.32,-0.67,0.37
F,25,Mikal Bridges,M. Bridges,All,2.01,95,23.51,2184,4.32,-0.67,0.37
G,4,Jevon Carter,J. Carter,PHX,1.88,89,25.18,234,4.43,0.4,0.93
G,4,Jevon Carter,J. Carter,All,1.88,89,25.18,234,4.43,0.4,0.93
F,14,Cheick Diallo,C. Diallo,PHX,2.06,100,23.56,234,4.44,-0.64,0.99
F,14,Cheick Diallo,C. Diallo,All,2.06,100,23.56,234,4.44,-0.64,0.99
G,16,Tyler Johnson,T. Johnson,PHX,1.93,86,23.09,1368,4.36,-0.95,0.58
G,16,Tyler Johnson,T. Johnson,All,1.93,86,23.09,1368,4.36,-0.95,0.58
F/C,8,Frank Kaminsky,F. Kaminsky,PHX,2.13,110,24.25,1170,4.22,-0.2,-0.14
F/C,8,Frank Kaminsky,F. Kaminsky,All,2.13,110,24.25,1170,4.22,-0.2,-0.14
G,2,Elie Okobo,E. Okobo,PHX,1.88,86,24.33,234,4.57,-0.15,1.65
G,2,Elie Okobo,E. Okobo,All,1.88,86,24.33,234,4.57,-0.15,1.65
G,11,Ricky Rubio,R. Rubio,PHX,1.93,86,23.09,2079,4.31,-0.95,0.32
G,11,Ricky Rubio,R. Rubio,All,1.93,86,23.09,2079,4.31,-0.95,0.32
F,20,Dario Saric,D. Saric,PHX,2.08,101,23.35,1872,4.31,-0.78,0.32
