"Rnk.","Bike brand","Wins","Teams"
13,"Kuota",20,"AG2R La Mondiale ,  UnitedHealthcare Presented by Maxxis"
14,"Wilier",19,"Lampre - Farnese Vini"
15,"Cervélo",17,"Cervelo Test Team"
16,"Lapierre",17,"Francaise des Jeux"
17,"Batavus",16,"Vacansoleil"
18,"Cipollini",15,"ISD - Neri"
19,"Koga",15,"Skil - Shimano"
20,"Bianchi",12,"Ceramica Flaminia - Bossini Docce ,  Team Joker - Bianchi"
21,"Canyon",11,"Omega Pharma-Lotto"
22,"Argon 18",10,"Spidertech presented by Planet Energy"
23,"Author",10,"PSK Whirlpool-Author"
24,"BH",9,"Burgos 2016 - Castilla y Leon ,  Caja Rural ,  Xacobeo-Galicia"
25,"Corratec",9,"Mróz - Active Jet"
26,"Fuji",6,"Footon-Servetto"
27,"BMC",5,"BMC Racing Team"
28,"Condor",5,"Rapha Condor Sharp"
29,"Principia",5,"An Post-M.Donnelly-Grant Thornton-Sean Kelly Team"
30,"Bottecchia",4,"Acqua & Sapone"
31,"Jamis",1,"Jamis - Sutter Home presented by Colavita"
32,"SDC",1,"Team Heizomat Mapei"
1,"Trek",63,"Leopard Trek ,  RadioShack ,  Trek - Livestrong presented by Radioshack"
2,"Pinarello",53,"Movistar Team ,  Sky Procycling"
3,"Colnago",48,"Colnago - CSF Inox ,  Team Europcar ,  Team Type 1 - SANOFI ,  Team Type 1 - Sanofi Aventis"
4,"Giant",34,"Drapac - Porsche Cycling ,  Rabobank Cycling Team"
5,"Wilier",33,"Aisan Racing Team ,  Lampre - ISD"
6,"Koga",30,"Skil - Shimano"
7,"Canyon",29,"Omega Pharma-Lotto"
8,"Lapierre",28,"FDJ"
9,"Cervélo",27,"Team Garmin - Cervélo"
10,"Ridley",26,"SparebankenVest - Ridley  ,  Vacansoleil - DCM"
11,"Look",26,"BigMat - Auber 93 ,  Cofidis, le Crédit en Ligne"
12,"Focus",26,"Jelly Belly presented by Kenda ,  Team Katusha"
13,"Cipollini",21,"Farnese Vini-Neri-Sottoli"
14,"Specialized",19,"Pro Team Astana ,  Saxo Bank - Sungard"
15,"Orbea",17,"Andalucia - Caja Granada ,  Euskaltel - Euskadi ,  Kelly Benefit Strategies - OptumHealth  ,  Orbea - Oreka SDA"
16,"Time",17,"Saur - Sojasun"
17,"Merida",15,"CCC - Polsat - Polkowice ,  Team Joker - Merida"
18,"BMC",13,"BMC Racing Team"
19,"Dolan",12,"An Post-M.Donnelly-Grant Thornton-Sean Kelly Team"
20,"Guerciotti",9,"Miche-Guerciotti"
21,"Eddy Merckx",9,"Quickstep Cycling Team ,  Topsport Vlaanderen - Mercator"
22,"Condor",9,"Rapha Condor Sharp"
23,"Argon 18",7,"Spidertech Powered by C10 ,  Test Team Raiko - Argon 18"
24,"Author",7,"PSK Whirlpool-Author"
25,"De Rosa",6,"Christina Watches-Onfone"
26,"Kuota",6,"AG2R La Mondiale"
27,"Boardman",5,"UnitedHealthcare Presented by Maxxis"
28,"Red Bull",5,"LKT Team Brandenburg"
29,"Malvern Star",5,"Genesys Wealth Advisers"
30,"Bottecchia",4,"Acqua & Sapone"
31,"Fuji",4,"Geox-TMC Transformers"
32,"BH",3,"Burgos 2016 - Castilla y Leon ,  Caja Rural"
33,"Simplon",1,"Team Netapp"
34,"Jamis",1,"Jamis - Sutter Home presented by Colavita"
35,"Vivelo",1,"Tusnad Cycling Team"
1,"Specialized",81,"Aisan Racing Team ,  Astana Pro Team ,  Omega Pharma - Quick-Step ,  Team Saxo Bank - Tinkoff Bank"
2,"Pinarello",80,"Movistar Team ,  Sky Procycling"
3,"Trek",44,"Bontrager Livestrong Team ,  RadioShack - Nissan ,  Team MTN Qhubeka"
4,"Colnago",33,"Colnago CSF Bardiani ,  Team Europcar"
5,"Giant",33,"Drapac Cycling Team ,  Funvic - Pindamonhangaba ,  Rabobank Cycling Team"
6,"SCOTT",32,"Orica GreenEDGE"
7,"Canyon",30,"Team Katusha"
8,"Felt",30,"Argos - Shimano"
9,"Ridley",28,"Lotto Belisol Team ,  Team Oster Hus - Ridley"
10,"Lapierre",24,"FDJ - BigMat"
11,"Bianchi",23,"Colombia - Coldeportes ,  Vacansoleil - DCM"
12,"BMC",23,"BMC - Hincapie Sportswear Team ,  BMC Racing Team"
13,"Cervélo",23,"Garmin Sharp ,  Team Garmin - Barracuda"
14,"Vivelo",23,"Caja Rural ,  CCC Polsat Polkowice ,  Tusnad Cycling Team"
15,"De Rosa",22,"Team Nippo"
16,"Orbea",19,"Euskaltel - Euskadi ,  Optum p/b Kelly Benefit Strategies"
17,"Time",17,"Saur - Sojasun"
18,"Cipollini",17,"Farnese Vini-Neri-Sottoli"
19,"Focus",13,"Acqua & Sapone ,  Jelly Belly Cycling"
20,"NeilPryde",12,"UnitedHealthcare Presented by Maxxis"
21,"KTM",11,"Bretagne Schuller"
22,"Simplon",11,"Team Netapp"
23,"Ideal",11,"SP Tableware Cycling Team"
24,"Look",9,"BigMat - Auber 93 ,  Cofidis, le Crédit en Ligne"
25,"Wilier",8,"Lampre - ISD"
26,"Malvern Star",8,"Genesys Wealth Advisers"
27,"Garneau",7,"Team Quebecor Garneau"
28,"Merckx",4,"Topsport Vlaanderen - Mercator"
29,"Jorbi",4,"Carmin - Prio"
30,"Kuota",4,"AG2R La Mondiale"
31,"Argon 18",3,"Spidertech Powered by C10"
32,"Fuji",3,"Champion System Pro Cycling Team"
33,"Author",3,"Whirlpool-Author"
34,"Merida",1,"Team Joker - Merida"
35,"BH",1,"Burgos BH - Castilla y Leon"
36,"Opera",1,"OCBC Singapore Continental Cycling Team"
37,"Jamis",1,"Jamis/Sutter Home Pro Cycling Team"
38,"Axman",1,"Action Cycling Team"
1,"Specialized",85,"Aisan Racing Team ,  Astana Pro Team ,  Omega Pharma - Quick-Step ,  Team Saxo - Tinkoff"
2,"Pinarello",72,"Movistar Team ,  Sky Procycling"
3,"Giant",60,"Belkin-Pro Cycling Team ,  Blanco Pro Cycling Team ,  Drapac Cycling Team ,  Kolss Cycling Team"
4,"Trek",48,"Bontrager  Cycling Team ,  MTN - Qhubeka ,  RadioShack - Leopard"
5,"SCOTT",48,"IAM Cycling ,  Orica GreenEDGE"
6,"Colnago",46,"Christina Watches-Onfone ,  RusVelo ,  Team Europcar"
7,"Lapierre",38,"FDJ ,  FDJ.fr  ,  Roubaix Lille Métropole"
8,"BMC",37,"BMC Racing Team ,  Hincapie Sportswear Development Team"
9,"Canyon",35,"Team Katusha"
10,"Ridley",33,"Lotto Belisol Team ,  Team Oster Hus - Ridley"
11,"Felt",31,"Team Argos - Shimano"
12,"MCipollini",27,"Bardiani Valvole - CSF Inox  ,  Vini Fantini"
13,"Merida",26,"Lampre - Merida ,  Team Joker - Merida"
14,"Cervélo",20,"Garmin Sharp"
15,"Orbea",20,"Euskadi ,  Euskaltel - Euskadi ,  Optum p/b Kelly Benefit Strategies"
16,"Fuji",18,"Champion System Pro Cycling Team ,  Team NetApp – Endura"
17,"Focus",17,"AG2R La Mondiale ,  Jelly Belly p/b Kenda ,  Rádio Popular-Onda"
18,"Bianchi",15,"Vacansoleil - DCM"
19,"Guerciotti",15,"CCC Polsat Polkowice ,  Meridiana Kamen Team"
20,"De Rosa",15,"Team Nippo - De Rosa"
21,"Merckx",15,"SP Tableware ,  Topsport Vlaanderen - Baloise"
22,"Look",12,"BigMat - Auber 93 ,  Cofidis, Solutions Crédits"
23,"Avanti",12,"Huon Salmon Genesys Wealth Advisers p/b Praties"
24,"BH",9,"Burgos BH - Castilla y Leon ,  Sojasun ,  Tusnad Cycling Team"
25,"Wilier",9,"Radenska ,  Team Colombia"
26,"CKT",9,"La Pomme Marseille"
27,"NeilPryde",8,"UnitedHealthcare Presented by Maxxis"
28,"KTM",6,"Bretagne - Séché Environnement"
29,"Vitus",5,"An Post - Chain Reaction"
30,"Vivelo",5,"Caja Rural - Seguros RGA"
31,"Cube",4,"Team Stölting"
32,"Fondriest",4,"Ceramica Flaminia - Fondriest"
33,"Caloi",3,"Funvic Brasilinvest - São José dos Campos"
34,"Jamis",3,"Jamis - Hagens Berman"
35,"Devinci",3,"5-hour Energy"
36,"Carrera",2,"Accent.jobs – Wanty"
37,"Cannondale",1,"C Project"
38,"Condor",1,"Rapha Condor"
39,"Rose",1,"LKT Team Brandenburg"
40,"Hrinkow",1,"Team Vorarlberg"
41,"Trigon",1,"Start - Trigon Cycling Team"
1,"Specialized",158,"Adria Mobil ,  Astana Pro Team ,  Etixx ,  Omega Pharma - Quick-Step ,  Team Trefor - Blue Water ,  Tinkoff - Saxo"
2,"Pinarello",70,"LBC - MVP Sports Foundation Cycling Team ,  Movistar Team ,  Team Sky"
3,"SCOTT",68,"Aisan Racing Team ,  IAM Cycling ,  Orica GreenEDGE"
4,"Giant",59,"Development Team Giant-Shimano  ,  Team Giant - Shimano ,  Team Joker"
5,"Colnago",56,"RusVelo ,  Team Europcar"
6,"Trek",55,"ActiveJet Team ,  Bissell  Development Team ,  MTN - Qhubeka ,  Trek Factory Racing"
7,"Lapierre",49,"FDJ.fr  ,  Roubaix Lille Métropole"
8,"Cipollini",45,"Amore & Vita - Selle SMP ,  Bardiani - CSF Pro Team ,  Neri Sottoli"
9,"Focus",42,"AG2R La Mondiale ,  Matrix Powertag ,  Rádio Popular"
10,"Ridley",41,"Lotto Belisol  ,  Team Oster Hus - Ridley"
11,"Merida",40,"Lampre - Merida ,  Marchiol Emisfero"
12,"BMC",39,"BMC Racing Team"
13,"Canyon",34,"Team Katusha"
14,"Wilier",34,"MG Kvis - Wilier ,  Radenska ,  Team Colombia ,  Team SmartStop  ,  UnitedHealthcare Pro Cycling Team"
15,"Merckx",33,"Kastro Team ,  SP Tableware ,  Topsport Vlaanderen - Baloise ,  Wallonie - Bruxelles"
16,"Bianchi",32,"Belkin-Pro Cycling Team"
17,"Cervélo",31,"Garmin Sharp"
18,"Kuota",31,"Wanty - Groupe Gobert"
19,"Guerciotti",26,"CCC Polsat Polkowice ,  Meridiana Kamen Team"
20,"Kemo",20,"Bretagne - Séché Environnement"
21,"Cannondale",15,"Riwal Cycling Team ,  Funvic Brasilinvest - São José dos Campos"
22,"Fuji",14,"Team NetApp – Endura"
23,"De Rosa",14,"Vini Fantini Nippo"
24,"Vivelo",14,"Caja Rural - Seguros RGA"
25,"Look",13,"BigMat - Auber 93"
26,"SwiftCarbon",13,"Drapac Professional Cycling ,  NFTO"
27,"Cube",11,"Team Stölting"
28,"BH",11,"Burgos-BH ,  Tusnad Cycling Team"
29,"Bottecchia",11,"Area Zero Pro Team ,  Clube Dataro de Ciclismo-Bottecchia"
30,"Orbea",10,"Euskadi ,  Team Novo Nordisk"
31,"Condor",10,"Rapha Condor JLT"
32,"Jorbi",9,"Banco BIC - Carmim ,  Louletano - Dunas Douradas"
33,"Vitus",9,"An Post - Chain Reaction"
34,"Diamondback",7,"Optum p/b Kelly Benefit Strategies"
35,"Simplon",7,"Team Gourmetfein Simplon Wels"
36,"Anchor",7,"Bridgestone Anchor Cycling Team"
37,"Hrinkow",7,"Team Vorarlberg"
38,"KTM",6,"Tirol Cycling Team"
39,"Author",5,"Bauknecht - Author ,  Team Dukla Praha"
40,"Avanti",5,"Avanti Racing Team"
41,"Felt",4,"Hincapie Sportswear Development Team"
42,"Fondriest",4,"Nankang - Fondriest"
43,"Rose",4,"LKT Team Brandenburg ,  Rad-Net Rose Team"
44,"Viner",4,"Christina Watches - Kuma"
45,"Jamis",4,"Jamis - Hagens Berman"
46,"Salcano",3,"Torku Şekerspor"
47,"Keith",3,"Keith Mobel - Partizan"
48,"Argon 18",2,"Jelly Belly p/b Maxxis"
49,"Gusto",2,"Team Gusto"
50,"Marin",2,"Airgas Cycling"
51,"Garneau",1,"Garneau - Québecor"
52,"Basso",1,"MLP Team Bergstraße"
53,"Genesis",1,"Madison Genesis"
54,"Carrera",1,"Parkhotel Valkenburg"
55,"Litespeed",1,"Astellas Cycling Team"
56,"Marcello",1,"Team Heizomat"
57,"Trigon",1,"Start - Trigon Cycling Team"
1,"Specialized",143,"Adria Mobil ,  Astana Pro Team ,  AWT-GreenWay ,  Cycling Academy Team ,  Etixx - Quick Step ,  Tinkoff - Saxo"
2,"Canyon",72,"Movistar Team ,  Team Katusha"
3,"Ridley",58,"ColoQuick  ,  Cult Energy Pro Cycling ,  Lotto Soudal ,  Team Coop - ØsterHus ,  Wallonie - Bruxelles"
4,"Cipollini",49,"Amore & Vita - Selle SMP ,  Axeon Cycling Team ,  Bardiani - CSF Pro Team ,  Equipe Cycliste Armée de Terre ,  Southeast"
5,"Pinarello",47,"Team Sky ,  Team Wiggins"
6,"SCOTT",46,"Aisan Racing Team ,  IAM Cycling ,  Orica GreenEDGE"
7,"BMC",41,"Amplatz - BMC ,  BMC Racing Team"
8,"Merida",36,"Lampre - Merida ,  Roth - Skoda"
9,"Focus",33,"AG2R La Mondiale ,  Data#3 Symantec team p/b Scody ,  Matrix Powertag"
10,"Colnago",28,"RusVelo ,  Team Europcar"
11,"Trek",27,"ActiveJet Team ,  Trek Factory Racing"
12,"Giant",26,"Team Giant - Alpecin ,  Team Joker"
13,"Salcano",25,"Torku Şekerspor"
14,"Lapierre",23,"FDJ ,  Roubaix Lille Métropole"
15,"Guerciotti",21,"CCC Sprandi Polkowice  ,  Meridiana Kamen Team"
16,"Cervélo",20,"MTN - Qhubeka"
17,"Fuji",19,"Caja Rural - Seguros RGA"
18,"Argon 18",15,"Bora - Argon 18 ,  Team Trefor - Blue Water"
19,"De Rosa",13,"Nippo - Vini Fantini"
20,"Avanti",13,"Avanti Racing Team"
21,"Cannondale",12,"Riwal Platform Cycling Team ,  Team Cannondale - Garmin"
22,"BH",12,"Auber 93 ,  Burgos-BH ,  Efapel"
23,"Look",12,"Bretagne - Séché Environnement ,  Team FixIT.no"
24,"Merckx",12,"Topsport Vlaanderen - Baloise"
25,"Soul",12,"Funvic - São José dos Campos"
26,"Wilier",11,"Team Colombia ,  Unieuro Wilier Trevigiani ,  UnitedHealthcare Pro Cycling Team"
27,"Diamondback",11,"Optum p/b Kelly Benefit Strategies"
28,"Vitus",11,"An Post - Chain Reaction"
29,"Cube",9,"Wanty - Groupe Gobert"
30,"SwiftCarbon",9,"Drapac Professional Cycling"
31,"Bianchi",8,"Team LottoNL-Jumbo ,  Team Tre Berg-Bianchi"
32,"KTM",8,"Team Marseille 13 KTM"
33,"Simplon",8,"Team Felbermayr - Simplon Wels"
34,"Stevens",8,"Team Stölting  ,  Team Vorarlberg"
35,"Author",7,"Team Dukla Praha ,  Whirlpool Author"
36,"NeilPryde",5,"Team SmartStop"
37,"Jorbi",4,"Louletano - Ray Just Energy ,  Tavira"
38,"Felt",4,"Hincapie Racing Team ,  NFTO"
39,"Gusto",4,"Attaque Team Gusto"
40,"Anchor",4,"Bridgestone Anchor Cycling Team"
41,"Carrera",4,"MG.Kvis Vega"
42,"Dynatek",4,"Nankang - Dynatek"
43,"Kuota",4,"Team Kuota-Lotto ,  Team UKYO"
44,"Keith",4,"Keith Mobel - Partizan"
45,"Koga",3,"SEG Racing"
46,"Hersh",3,"GM Cycling Team"
47,"Rose",3,"Rad-Net Rose Team"
48,"Jamis",3,"Jamis - Hagens Berman"
49,"Hrinkow",3,"Team Hrinkow Advarics Cycleang"
50,"Orbea",2,"Team Novo Nordisk"
51,"Garneau",2,"Garneau - Québecor"
1,"Specialized",150,"Pedal Heaven Race Team ,  Adria Mobil ,  Astana Pro Team ,  Astellas Cycling Team ,  Axeon Hagens Berman ,  Etixx - Quick Step ,  Klein Constantia ,  Team Illuminate ,  Tinkoff"
2,"Canyon",61,"Movistar Team ,  Team Katusha"
3,"Trek",52,"NASR-DUBAI ,  Trek - Segafredo ,  VERVA ActiveJet Pro Cycling Team"
4,"SCOTT",50,"Efapel ,  IAM Cycling ,  Orica GreenEDGE ,  ORICA-BikeExchange"
5,"Wilier",42,"Terengganu Cycling Team ,  Unieuro Wilier ,  UnitedHealthcare Pro Cycling Team ,  Wilier - Southeast"
6,"Pinarello",40,"Team Sky ,  Team Wiggins"
7,"BMC",36,"Amplatz - BMC ,  BMC Racing Team"
8,"Cervélo",32,"Team Dimension Data"
9,"Ridley",32,"Lotto Soudal ,  Team Coop - ØsterHus ,  Wallonie - Bruxelles"
10,"Argon 18",30,"Bora - Argon 18 ,  Jelly Belly p/b Maxxis ,  Skydive Dubai Pro Cycling Team - Al Ahli Club ,  Team Trefor ,  Virtu Pro Veloconcept"
11,"Cannondale",26,"Cannondale Pro Cycling Team ,  Cannondale-Drapac Pro Cycling Team ,  Cycling Academy Team ,  Korail Cycling Team ,  Riwal Platform Cycling Team"
12,"BH",26,"Direct Energie ,  LX  - IIBS Cycling team"
13,"Giant",23,"State of Matter MAAP Racing ,  Team Giant - Alpecin ,  Team Joker - Byggtorget"
14,"Lapierre",23,"FDJ ,  Roubaix Lille Métropole"
15,"Bianchi",22,"Team LottoNL-Jumbo ,  Team Ringeriks - Kraft  ,  Team Tre Berg-Bianchi"
16,"Merida",22,"Dukla Banska Bystrica ,  Lampre - Merida"
17,"Cipollini",19,"Amore & Vita - Selle SMP ,  Bardiani - CSF ,  Equipe Cycliste Armée de Terre"
18,"Factor",13,"One Pro Cycling"
19,"Look",13,"Fortuneo - Vital Concept ,  Wisdom - Hengxiang Cycling Team"
20,"Guerciotti",12,"CCC Sprandi Polkowice"
21,"SwiftCarbon",12,"Drapac Professional Cycling"
22,"Cube",11,"Wanty - Groupe Gobert"
23,"KTM",11,"Delko Marseille Provence KTM ,  W52/FC Porto"
24,"Fuji",11,"Caja Rural - Seguros RGA"
25,"Garneau",10,"Garneau - Québecor ,  Team UKYO"
26,"Diamondback",10,"Rally Cycling"
27,"Focus",10,"AG2R La Mondiale ,  Data#3 Cisco Racing Team p/b Scody"
28,"Avanti",10,"Avanti IsoWhey Sport"
29,"Simplon",8,"Team Felbermayr - Simplon Wels"
30,"Rose",8,"Rad-Net Rose Team ,  Stölting Service Group"
31,"Colnago",7,"Gazprom-RusVelo"
32,"De Rosa",7,"Nippo - Vini Fantini"
33,"Merckx",6,"Lupus Racing Team ,  Topsport Vlaanderen - Baloise"
34,"Felt",6,"Holowesko-Citadel Racing Team"
35,"Salcano",5,"Torku Sekerspor"
36,"Jamis",5,"Team Jamis"
37,"Jorbi",4,"Louletano - Hospital de Loulé  ,  Sporting Clube de Portugal/Tavira"
38,"Yonex",4,"Kinan Cycling Team"
39,"Author",4,"Whirlpool Author"
40,"Stevens",4,"Team Vorarlberg"
41,"Anchor",4,"Bridgestone Anchor Cycling Team"
42,"Hersh",4,"GM Europa Ovini"
43,"Condor",3,"JLT Condor"
44,"Soul",3,"Funvic Soul Cycles - Carrefour"
45,"Gusto",3,"Attaque Team Gusto"
46,"Kuota",3,"Radenska Ljubljana ,  Team Kuota-Lotto"
47,"Stradalli",3,"Stradalli - Bike Aid"
48,"Bottecchia",2,"d'Amico - Bottecchia"
49,"Gios",2,"Team Manzana Postobon"
50,"Koga",2,"SEG Racing Academy"
51,"Vitus",2,"An Post Chain Reaction"
52,"Orbea",1,"Euskadi Basque Country - Murias"
53,"Time",1,"HP BTP - Auber93"
54,"Genesis",1,"Madison Genesis"
55,"Massi",1,"Massi - Kuwait Cycling Project"
56,"XDS",1,"Beijing XDS - Innova Cycling Team"
1,"Specialized",117,"Adria Mobil ,  Agrupacion Virgen De Fatima ,  Axeon Hagens Berman ,  BORA - hansgrohe ,  Canels Specialized ,  Quick-Step Floors ,  Team Illuminate ,  Thailand Continental Cycling Team"
2,"BMC",67,"Amplatz - BMC ,  BMC Racing Team ,  Metec - TKH Continental Cyclingteam p/b Mantel ,  Team Sparebanken Sør"
3,"Cervélo",61,"Dimension Data for Qhubeka ,  IsoWhey Sports SwissWellness team ,  Oliver's Real Food ,  Team Dimension Data ,  Team Sapura Cycling ,  Team Virtu Cycling"
4,"Scott",54,"Efapel ,  EPM ,  Equipo de ciclismo Coldeportes Zenu ,  Hangar 15 Bicycles  ,  LA Aluminios-Metalusa ,  Mitchelton Scott ,  ORICA-Scott ,  ROG - Ljubljana ,  WSA-Greenlife"
5,"Canyon",52,"BIKE Channel Canyon ,  Movistar Team ,  Shimano Racing Team ,  Team Katusha Alpecin"
6,"Colnago",48,"Gazprom-RusVelo ,  Kolss Cycling Team ,  Pauwels sauzen - Vastgoedservice Continental Team ,  UAE Team Emirates"
7,"Ridley",41,"Aqua Blue Sport ,  Equipo Bolivia ,  Lotto Soudal ,  Team Coop  ,  WB Veranclassic Aqua Protect"
8,"Giant",40,"Development Team Sunweb ,  Leopard Pro Cycling  ,  Pishgaman Cycling Team ,  Rietumu Banka - Riga ,  Team Giant - Castelli ,  Team Sunweb"
9,"Lapierre",38,"FDJ ,  Terengganu Cycling Team"
10,"Orbea",35,"Cofidis, Solutions Crédits ,  Inteja Dominican Cycling Team ,  Kuwait - Cartucho.es ,  UnitedHealthcare Pro Cycling Team"
11,"Pinarello",34,"Team Sky"
12,"Bianchi",28,"KSPO ,  Team LottoNL-Jumbo ,  Uno-X Hydrogen Development Team"
13,"KTM",28,"Delko Marseille Provence KTM ,  Tabriz Shahrdary Team ,  Tirol Cycling Team ,  W52/FC Porto"
14,"Wilier",28,"Bicicletas Strongman ,  St. George Continental Cycling Team ,  Unieuro Trevigiani - Hemus 1896 ,  Wilier Triestina - Selle Italia"
15,"BH",27,"Burgos-BH ,  Direct Energie ,  LX Cycling Team"
16,"Cannondale",26,"Cannondale-Drapac Pro Cycling Team ,  ColoQuick CULT ,  Drapac Pat's Veg Holistic Development Team ,  Israel Cycling Academy"
17,"Argon 18",26,"Astana Pro Team ,  Jelly Belly p/b Maxxis ,  Riwal Platform Cycling Team"
18,"Fuji",24,"Caja Rural - Seguros RGA ,  Equipo Continental Municipalidad de Pocito ,  Synergy Baku Cycling Project ,  Team FixIT.no ,  Voster Uniwheels Team ,  Wibatech 7r Fuji"
19,"Girs",20,"Equipe Cycliste Armée de Terre"
20,"Trek",19,"NSW Institute of Sport ,  Trek - Segafredo"
21,"Diamondback",19,"Rally Cycling"
22,"Guerciotti",18,"CCC Sprandi Polkowice"
23,"Garneau",18,"Garneau - Québecor ,  Team UKYO"
24,"Factor",16,"AG2R La Mondiale"
25,"Merida",15,"Bahrain Merida Pro Cycling Team ,  Dukla Banska Bystrica ,  Utsunomiya Blitzen"
26,"Felt",14,"Holowesko-Citadel Racing Team ,  Vérandas Willems-Crelan"
27,"Focus",14,"Domin Sport ,  Matrix Powertag ,  Ningxia Sports Lottery - Livall Cycling team ,  Radio Popular Boavista"
28,"Cube",13,"Aisan Racing Team ,  Wanty - Groupe Gobert"
29,"Simplon",13,"Baby-Dump Cyclingteam ,  Team Felbermayr - Simplon Wels"
30,"Look",12,"Fortuneo - Oscaro"
31,"Author",12,"Elkov - Author Cycling Team"
32,"De Rosa",11,"Nippo - Vini Fantini"
33,"Condor",11,"JLT Condor"
34,"Merckx",10,"Delta Cycling Rotterdam ,  Destil - Jo Piels Cycling Team ,  Sport Vlaanderen - Baloise"
35,"Yonex",10,"Kinan Cycling Team"
36,"Salcano",9,"Torku Sekerspor"
37,"Berria",8,"Medellin - Inder"
38,"Aist",8,"Minsk Cycling Club"
39,"Benotti",8,"Bike Aid"
40,"Stevens",7,"Beobank - Corendon ,  Team Vorarlberg"
41,"Olmo",6,"Sangemini - MG.Kvis"
42,"Fondriest",6,"Amore & Vita - Selle SMP presented by FONDRIEST"
43,"Boardman",6,"One Pro Cycling"
44,"Koga",6,"SEG Racing Academy"
45,"Time",5,"HP BTP - Auber93"
46,"Gavia",5,"Team Joker Icopal"
47,"Vitus",5,"An Post Chain Reaction"
48,"Gios",4,"Manzana Postobon"
49,"Cipollini",4,"Bardiani - CSF"
50,"Jorbi",4,"ISD-Jorbi Continental Team ,  Louletano - Hospital de Loulé ,  Sporting Clube de Portugal/Tavira"
51,"CKT",4,"Cibel - Cebon ,  Monkey Town Continental Team"
52,"Soul",4,"Soul Brasil Pro Cycling Team"
53,"Anchor",3,"Bridgestone Anchor Cycling Team"
54,"Python",3,"BHS - Almeborg-Bornholm"
55,"Dare",3,"Dare Viator Partizan"
56,"Hrinkow",3,"Team Hrinkow Advarics Cycleang"
57,"Isaac",2,"Roompot - Nederlandse Loterij"
58,"Gusto",2,"Attaque Team Gusto"
59,"Hersh",2,"GM Europa Ovini"
60,"MMR",2,"Team Differdange - Losch"
61,"Rose",2,"Rad-Net Rose Team"
62,"Kuota",2,"Roth-Akros"
63,"Zannata",1,"Tarteletto - Isorex"
64,"RTS",1,"RTS - Monton Racing"
65,"Taokas",1,"7 Eleven - Roadbike Philippines"
66,"AsianCycleExpress",1,"Nice Pro Cycling Team"
67,"Memil",1,"Memil Pro Cycling"
68,"GW",1,"GW - Shimano"
69,"Cello",1,"Geumsan Insam Cello"
70,"XDS",1,"Beijing XDS - Innova Cycling Team"
1,"Specialized",129,"Adria Mobil ,  BORA - hansgrohe ,  Hagens Berman Axeon ,  Quick-Step Floors ,  Team Illuminate"
2,"Wilier",55,"Direct Energie ,  ProTouch ,  St. George Continental Cycling Team ,  Trevigiani Phonix - Hemus 1896 ,  Wilier Triestina - Selle Italia"
3,"Pinarello",50,"Riwal CeramicSpeed Cycling Team ,  Team Sky ,  Team Wiggins"
4,"Lapierre",46,"Groupama - FDJ ,  Roubaix Lille Métropole ,  Terengganu Cycling Team"
5,"Scott",45,"303Project ,  Mitchelton - BikeExchange ,  Mitchelton-Scott"
6,"Ridley",39,"Australian Cycling Academy - Ride Sunshine Coast ,  LKT Team Brandenburg ,  Lotto Soudal ,  Team Coop  ,  WB Aqua Protect Veranclassic"
7,"Trek",36,"ColoQuick ,  Polartec-Kometa ,  Trek - Segafredo"
8,"Merida",35,"Bahrain Merida Pro Cycling Team ,  Dukla Banska Bystrica ,  Utsunomiya Blitzen"
9,"Canyon",35,"Canyon Eisberg ,  Movistar Team ,  Team Embrace The World ,  Team Katusha Alpecin"
10,"Bianchi",34,"KSPO Bianchi Asia Procycling ,  Team LottoNL-Jumbo"
11,"Cervélo",34,"Bennelong SwissWellness Cycling Team ,  Minsk Cycling Club ,  Team Dimension Data ,  Team Sapura Cycling"
12,"Orbea",33,"Euskadi - Murias ,  UnitedHealthcare Pro Cycling Team ,  VIB Sports ,  Vital Concept Cycling Club"
13,"Argon 18",32,"Astana Pro Team ,  Jelly Belly p/b Maxxis"
14,"De Rosa",31,"Caja Rural - Seguros RGA ,  Israel Cycling Academy ,  Nippo - Vini Fantini - Europa Ovini"
15,"BMC",30,"BMC Racing Team ,  Holowesko - Citadel p/b Arapahoe Resources ,  Metec - TKH Continental Cyclingteam p/b Mantel"
16,"Kuota",21,"Cofidis, Solutions Crédits"
17,"KTM",19,"Delko Marseille Provence KTM ,  Tirol Cycling Team ,  W52/FC Porto"
18,"Simplon",19,"Team Felbermayr - Simplon Wels  ,  Team Lotto - Kern Haus"
19,"Fuji",17,"St Michel - Auber93 ,  Synergy Baku Cycling Project ,  Team UKYO ,  WSA Pushbikers"
20,"Factor",15,"AG2R La Mondiale"
21,"Author",15,"Elkov - Author Cycling Team ,  Voster Uniwheels Team"
22,"Cube",14,"Aisan Racing Team ,  Wanty - Groupe Gobert"
23,"Colnago",14,"Gazprom-RusVelo ,  Team Novo Nordisk ,  UAE-Team Emirates"
24,"Stevens",14,"My Bike - Stevens ,  Team Vorarlberg Santic ,  Vérandas Willems-Crelan"
25,"Koga",13,"SEG Racing Academy"
26,"Storck",13,"One Pro Cycling ,  Team Virtu Cycling ,  Team Waoo"
27,"Cannondale",12,"Aevolo ,  Drapac EF Cycling ,  Funvic - São José dos Campos ,  Team EF Education First-Drapac p/b Cannondale"
28,"Gios",12,"Manzana Postobon"
29,"Giant",11,"Team Sunweb"
