"Rnk.","Bike brand","Wins","Teams"
13,"Trek",17,"Team Krone ,  US Postal Service"
14,"Scott",17,"Jean Delatour"
15,"Gios",15,"Milaneza - Mss ,  Porta da Ravessa - Zurich"
16,"Wilier",14,"Mercatone Uno ,  Perutnina Ptuj - KRKA - Telekom Slovenije ,  Team Gericom - BikeDrive"
17,"Fondriest",14,"Lampre - Daikin ,  Team Mälarenergi - Sime"
18,"Masil",14,"Cantanhede - Marques de Marialva ,  Carvalhelhos - Boavista  ,  LA Alumí­nios - Pecol"
19,"Principia",14,"EDS - Fakta  ,  Team Comnet - Senges"
20,"Batavus",13,"Bankgiroloterij"
21,"Time",12,"Bonjour"
22,"Carrera",12,"Tacconi Sport"
23,"Decathlon",12,"AG2R Prévoyance"
24,"Ridley",11,"Palmans - Collstrop"
25,"Hercules",11,"Team Nurnberger Versicherung"
26,"MBK",11,"Cofidis"
27,"Merckx",10,"Domo - Farm Frites ,  Vlaanderen - T-Interim"
28,"Ideal",10,"Volksbank - Ideal"
29,"Merida",9,"Mróz - Supradyn Witaminy"
30,"Battaglin",9,"Panaria - Fiordo"
31,"Orbea",7,"Euskaltel - Euskadi"
32,"Fuji",7,"Mercury Cycling Team"
33,"Hinault",7,"Saint-Quentin - Oktos"
34,"Girs",6,"Marlux - Ville de Charleroi"
35,"Kuips",6,"Jazztel - Costa de Almeria"
36,"BH",5,"Colchon Relax - Fuenlabrada"
37,"Flanders",5,"RDM - Flanders"
38,"Coppi",4,"Index - Alexia Alluminio"
39,"Argon 18",3,"Sympatico - Jet Fuel Coffee"
40,"Simplon",2,"Elk Haus Radteam - Sportunion Schrems"
41,"Stevens",2,"Team Jura Suisse"
42,"Gitane",2,"BigMat - Auber 93"
43,"SAB",2,"Amore & Vita - Beretta"
44,"LeMond",1,"Saturn Cycling Team"
45,"Fort",1,"Wüstenrot - ZVVZ"
1,"Pinarello",100,"Fassa Bortolo ,  iBanesto.com ,  Prime Alliance Cycling Team ,  Team Telekom"
2,"Time",56,"Brioches La Boulangère ,  Quick Step - Davitamon - Latexco ,  Quickstep - Davitamon"
3,"Decathlon",51,"AG2R Prévoyance ,  Cofidis"
4,"Colnago",44,"Landbouwkrediet - Colnago ,  Navigators Insurance Cycling Team ,  Rabobank ProTeam ,  Team Nippon Hodo"
5,"Wilier",43,"Gerolsteiner ,  Lampre"
6,"Orbea",39,"CCC - Polsat  ,  Euskaltel - Euskadi ,  Jelly Belly - Carlsbad Clothing Company Cycling Te ,  Milaneza - Mss"
7,"Look",39,"Crédit Agricole ,  Crédit Agricole Espoirs ,  Health Net Cycling Team ,  Kelme - Costa Blanca ,  Team Barloworld"
8,"Cannondale",35,"7Up - Maxxis ,  Saeco"
9,"Merckx",28,"Lotto - Domo ,  Vlaanderen - T-Interim"
10,"Lapierre",25,"Fdjeux.com"
11,"Cervélo",21,"Team CSC"
12,"Batavus",20,"Bankgiroloterij"
13,"Scott",18,"Jean Delatour"
14,"De Rosa",18,"Alessio"
15,"Battaglin",18,"05 Orbitel ,  Panaria - Fiordo"
16,"Carrera",16,"Mercatone Uno - Scanavino ,  Vini Calderola - So.di"
17,"Specialized",15,"Domina Vacanze - Elitron"
18,"Giant",13,"O.N.C.E. - Eroski"
19,"Bianchi",12,"Team Bianchi ,  Team Bianchi Scandinavia ,  Team Coast"
20,"Masil",12,"Carvalhelhos - Boavista  ,  L.A. Aluminios - Pecol"
21,"Ridley",11,"Palmans - Collstrop"
22,"Girs",11,"Marlux-Wincor Nixdorf"
23,"Coppi",11,"De Nardi - Colpack"
24,"LeMond",11,"Saturn"
25,"Trek",10,"US Postal Service"
26,"Kuips",10,"Paternina - Costa de Almería"
27,"BMC",7,"Phonak Hearing Systems"
28,"Fort",7,"eD'system - ZVVZ"
29,"Gios",6,"Formaggi Pinzolo Fiavè ,  Porta da Ravessa - Tavira"
30,"Flanders",6,"Flanders - iTeamNova"
31,"Wheeler",6,"Team Wiesenhof - Leipzig"
32,"MBK",5,"MBK - Oktos"
33,"Olmo",4,"Labarca-2-Café Baqué ,  Sportsbook.com Cycling Team - Acrow Bridges"
34,"Dynatek",4,"Antarte - Rota dos Móveis ,  ASC - Vila do Conde"
35,"Ideal",4,"Volksbank - Ideal"
36,"Litespeed",3,"Ofoto - Lombardi Sports ,  Schroeder Iron Pro Cycling"
37,"Gitane",3,"BigMat - Auber 93"
38,"BH",1,"Relax - Fuenlabrada"
39,"Simplon",1,"Elk Haus Radteam - Sportunion Schrems"
40,"Gazelle",1,"Van Vliet - EBH - Gazelle"
1,"Time",73,"Brioches La Boulangère ,  Quickstep - Davitamon"
2,"Colnago",62,"Landbouwkrediet - Colnago ,  Navigators Insurance Cycling Team ,  Rabobank ProTeam ,  Team Nippo"
3,"Pinarello",46,"Fassa Bortolo ,  Team PH"
4,"Look",46,"Comunidad Valenciana - Kelme ,  Crédit Agricole ,  Crédit Agricole Espoirs ,  Kelme - Costa Blanca ,  RAGT Semence - Mg Rover"
5,"Giant",39,"Giant Asia Racing Team ,  Health Net Pro Cycling Team presented by Maxxis ,  Legia - Bazyliszek - Sopro ,  RSH ,  T-Mobile Team"
6,"Decathlon",39,"AG2R Prévoyance ,  Cofidis, le Crédit par Téléphone"
7,"Wilier",38,"Gerolsteiner ,  Lampre"
8,"Trek",26,"Glud & Marstrand - Horsens ,  US Postal Service"
9,"Merckx",26,"Lotto - Domo ,  Vlaanderen - T-Interim Univega"
10,"Orbea",25,"Euskaltel - Euskadi ,  Hoop - CCC - Polsat  ,  Milaneza Maia"
11,"Cannondale",23,"Saeco"
12,"Lapierre",23,"Fdjeux.com"
13,"Cervélo",21,"Team CSC"
14,"Bianchi",19,"Alessio - Bianchi ,  Team Bianchi Nordic ,  Team HSBC ,  Webcor Cycling Team"
15,"BMC",18,"Phonak Hearing Systems"
16,"Scott",18,"Saunier Duval - Prodir"
17,"MBK",18,"Chocolade Jacques - Wincor Nixdorf ,  Oktos - Saint-Quentin"
18,"Ridley",17,"Mrbookmaker.com - Palmans ,  Relax - Bodysol ,  Team Cyclingnews.com - Down Under"
19,"Opera",14,"Illes Balears - Banesto"
20,"BH",13,"Liberty Seguros ,  Team BH"
21,"Moser",13,"Acqua & Sapone - Caffe Mokambo"
22,"Wheeler",13,"PSK Whirlpool ,  Team Wiesenhof"
23,"Specialized",10,"Domina Vacanze"
24,"Stevens",8,"Team Lamonta"
25,"Battaglin",8,"Ceramica Panaria - Margres"
26,"Masil",7,"L.A. - Pecol"
27,"Coppi",7,"De Nardi"
28,"Kuips",6,"Costa de Almería - Paternina"
29,"De Rosa",5,"Vini Caldirola - Nobili Rubinetterie"
30,"Carrera",5,"Team Barloworld - Androni Giocattoli"
31,"Felt",4,"Colavita Olive Oil Pro Team presented by Bolla"
32,"Batavus",4,"Bankgiroloterij"
33,"Olmo",3,"Cafés Baqué"
34,"Dynatek",3,"Axa Cycling Team ,  Dominscout - Sniezka - Lody"
35,"FRW",3,"Miche"
36,"Gios",2,"Wurth - Bom Petisco"
37,"Author",2,"DHL - Author"
38,"Corratec",2,"Corratec Austria - Arbö"
39,"Ideal",2,"Volksbank - Ideal - Leingrüber"
40,"Klein",1,"Ofoto Cycling Team"
1,"Colnago",69,"Ceramica Panaria - Navigare ,  Domina Vacanze ,  Navigators Insurance Cycling Team ,  Rabobank ProTeam"
2,"Pinarello",56,"Fassa Bortolo ,  Kaiku ,  Team GLS"
3,"Giant",46,"Axa Pro Cycling Team ,  Giant Asia Racing Team ,  Health Net presented by Maxxis ,  RSH ,  T-Mobile Team"
4,"Time",46,"Bouygues Telecom ,  Quickstep - Innergetic ,  Sumita Ravanello Pearl Izumi"
5,"Look",43,"Barbot - Pascoal ,  Crédit Agricole ,  Omnibike Dynamo Moscow"
6,"Cervélo",39,"CSC ProTeam"
7,"Orbea",37,"Comunidad Valenciana ,  Euskaltel - Euskadi ,  Grupa PSB - Atlas - Orbea ,  Orbea"
8,"Ridley",32,"Davitamon - Lotto"
9,"BH",27,"Auber 93 ,  Liberty Seguros - Würth Team"
10,"Specialized",23,"Gerolsteiner ,  Milaneza - Maia"
11,"De Rosa",22,"Team Barloworld - Valsir"
12,"Trek",21,"Discovery Channel  ,  Marco Polo Cycling Team"
13,"Lapierre",20,"Française des Jeux"
14,"Decathlon",20,"AG2R Prévoyance"
15,"Cannondale",17,"Lampre-Caffita"
16,"BMC",16,"Phonak Hearing Systems"
17,"SAB",16,"Naturino - Sapore Di Mare"
18,"Scott",14,"Radenska Rog ,  Saunier Duval - Prodir ,  Team Sparebanken Vest"
19,"Wilier",14,"Cofidis, le Crédit par Téléphone"
20,"Opera",14,"Illes Balears - Caisse d'Epargne"
21,"Merckx",10,"Chocolade Jacques - T Interim"
22,"Kuips",10,"Andalucia - Paul Versan ,  Spiuk"
23,"Merida",9,"Dukla Trencin ,  Paredes Rota dos Moveis - Beira Tamega"
24,"Author",9,"DHL - Author"
25,"Litespeed",9,"Recycling.co.uk - MG-XPower - Litespeed"
26,"Bianchi",8,"Duja - Tavira ,  Hemus 1896 - Aurora 2000 Berchi ,  MG Xpower presented by BigPond"
27,"Moser",8,"Acqua & Sapone - Adria Mobil ,  KRKA - Adria Mobil"
28,"Ideal",8,"Rietumu Bank ,  Volksbank - Leingruber - Ideal"
29,"Dynatek",4,"ASC - Chenco Jeans ,  Knauf Team"
30,"Red Bull",3,"AKUD Arnolds Sicherheit"
31,"Felt",2,"Colavita Olive Oil - Sutter Pro Cycling Team"
32,"Fondriest",2,"Team Cyclingnews.com"
33,"Masil",2,"Carvalhelhos - Boavista"
34,"Jovelin",1,"Team TIAA - CREF"
35,"Garneau",1,"The Jittery Joe's - Kalahari Pro Cycling Team"
36,"Daccordi",1,"Ceramica Flaminia"
37,"MBK",1,"RAGT Semence - Mg Rover"
38,"Kuota",1,"Sava"
1,"Colnago",59,"Ceramica Panaria - Navigare ,  FRF Couriers - Caravello ,  Rabobank ProTeam ,  Team Milram"
2,"Look",53,"Barbot - Halcon ,  Crédit Agricole ,  Omnibike Dynamo Moscow"
3,"Specialized",49,"Gerolsteiner ,  Imoholding - Loulé Jardin Hotel ,  Maia Milaneza"
4,"Cervélo",47,"CSC ProTeam"
5,"Trek",45,"Discovery Channel  ,  Marco Polo Cycling Team ,  Riberalves - Alcobaca ,  Tecos de la Universidad Autonoma de Guadalajara"
6,"Time",44,"Quickstep - Innergetic"
7,"Ridley",43,"Davitamon - Lotto ,  Fidea Cycling Team ,  Pôle Continental Wallon - Davitamon - Euro Million ,  Unibet - Davo ,  Unibet.com"
8,"Pinarello",40,"Aisan Racing Team ,  Caisse d'Epargne - Illes Balears ,  Kaiku ,  Recycling.co.uk"
9,"BH",34,"Astana ,  Atom ,  Grupo Nicolás Mateos ,  Liberty Seguros - Würth ,  Viña Magna - Cropu ,  Würth Team"
10,"Bianchi",30,"Duja - Tavira ,  Hemus 1896 - Berneschi ,  Premier ,  SouthAustralia.com-AIS ,  Team Maxbo - Bianchi"
11,"Fondriest",29,"Lampre-Fondital"
12,"Cannondale",26,"Barloworld ,  Health Net Presented By Maxxis"
13,"Merckx",26,"Chocolade Jacques / Topsport Vlaanderen ,  Cycling Team Capec ,  Kodakgallery.com - Sierra Nevada Pro Cycling"
14,"SCOTT",25,"Radenska Powerbar ,  Saunier Duval - Prodir ,  Team Sparebanken Vest"
15,"Orbea",25,"Bretagne - Jean Floc'h ,  Comunidad Valenciana ,  Orbea"
16,"BTwin",22,"AG2R Prévoyance ,  Team TIAA - CREF"
17,"Giant",22,"T-Mobile Team ,  Thüringer Energie Team"
18,"Lapierre",21,"Française des Jeux"
19,"Decathlon",18,"AG2R Prévoyance"
20,"Denti",18,"Tinkoff Restaurants"
21,"Author",17,"DHL - Author ,  PSK Whirlpool - Hradec Kralove"
22,"Dynatek",17,"Knauf Team"
23,"BMC",14,"Phonak Hearing Systems"
24,"Wilier",14,"Cofidis, le Crédit par Téléphone"
25,"Kuips",12,"Andalucía - Paul Versán ,  Spiuk-Extremadura"
26,"De Rosa",11,"Acqua & Sapone - Caffè Mokambo"
27,"Felt",11,"3 Molinos Resort ,  Team Konica Minolta"
28,"Flanders",8,"Flanders"
29,"Opera",7,"Tenax - Salmilano"
30,"Gios",5,"Relax - Gam"
31,"Guerciotti",4,"LPR - Nava"
32,"Moser",4,"Adria Mobil"
