"","Player","FGA","X2PFG.","X3PFG.","PTS","TRB","BLK","AST.TOV","ORtg"
"1","Filip Petrusev",3.9,0.64,0.3,6.8,2.9,0.5,0.5,134
"2","Bruno Fernando",8.3,0.66,0.33,14.4,10.6,1.9,0.74,123.6
"3","Charles Bassey",9,0.64,0.5,14.9,9.9,2.4,0.23,114.1
"4","Moses Brown",7.5,0.63,NA,10.9,8.8,2,0.19,110.2
"5","Austin Wiley",5.4,0.57,0,8.2,4.9,1.4,0,110.1
"6","Naz Reid",10.1,0.51,0.38,13.4,6.6,0.9,0.35,107.3
